game_id,game_date,matchup,team_id,is_home,wl,w,l,w_pct,min,fgm,fga,fg_pct,fg3m,fg3a,fg3_pct,ftm,fta,ft_pct,oreb,dreb,reb,ast,stl,blk,tov,pf,pts,a_team_id,season_year,season_type,season,num_game,a_fgm,a_fga,a_fg_pct,a_fg3m,a_fg3a,a_fg3_pct,a_ftm,a_fta,a_ft_pct,a_oreb,a_dreb,a_reb,a_ast,a_stl,a_blk,a_tov,a_pf,a_pts,a_num_game,spread
21600662,2017-01-22,LAL @ DAL,1610612742,t,W,15,29,0.341,240,43,87,0.494,17,39,0.436,19,19,1,13,36,49,27,9,4,10,15,122,1610612747,2016,Regular Season,2016-17,44,28,73,0.384,3,21,0.143,14,17,1,5,27,32,11,3,4,17,20,73,48,6
21600728,2017-01-31,CHA @ POR,1610612757,t,W,22,28,0.44,240,42,93,0.452,11,31,0.355,20,23,1,11,40,51,23,8,2,8,18,115,1610612766,2016,Regular Season,2016-17,50,33,83,0.398,11,31,0.355,21,25,1,3,39,42,20,3,6,9,13,98,49,3.75
21601183,2017-04-07,SAS @ DAL,1610612742,t,L,32,47,0.405,240,38,88,0.432,8,26,0.308,5,8,1,6,38,44,26,1,8,9,17,89,1610612759,2016,Regular Season,2016-17,79,40,96,0.417,9,28,0.321,13,22,1,16,42,58,26,6,5,6,11,102,79,4.75
21600475,2016-12-27,UTA @ LAL,1610612747,t,L,12,23,0.343,240,39,83,0.47,4,16,0.25,18,22,1,15,25,40,19,8,3,14,21,100,1610612762,2016,Regular Season,2016-17,35,38,75,0.507,9,26,0.346,17,24,1,14,25,39,19,6,4,19,18,102,32,-5.75
21601194,2017-04-08,UTA @ POR,1610612757,t,W,40,40,0.5,240,37,91,0.407,13,30,0.433,14,16,1,12,35,47,15,5,6,3,16,101,1610612762,2016,Regular Season,2016-17,80,31,78,0.397,6,19,0.316,18,24,1,9,38,47,19,2,9,10,18,86,80,2.5
21600192,2016-11-19,CHI @ LAC,1610612746,t,W,12,2,0.857,240,36,77,0.468,11,27,0.407,19,23,1,11,27,38,20,6,2,13,20,102,1610612741,2016,Regular Season,2016-17,14,33,77,0.429,9,30,0.3,20,24,1,15,26,41,17,7,4,12,20,95,13,8
21600281,2016-12-01,HOU @ GSW,1610612744,t,L,16,3,0.842,290,43,104,0.413,12,44,0.273,29,37,1,13,41,54,31,12,7,17,27,127,1610612745,2016,Regular Season,2016-17,19,48,108,0.444,14,44,0.318,22,30,1,15,41,56,26,11,4,19,28,132,19,11.25
21600070,2016-11-04,ATL @ WAS,1610612764,t,W,1,3,0.25,240,31,80,0.388,5,20,0.25,28,35,1,11,35,46,13,7,3,19,23,95,1610612737,2016,Regular Season,2016-17,4,32,83,0.386,5,25,0.2,23,36,1,10,37,47,22,12,3,18,24,92,5,1.25
21600317,2016-12-06,CHI @ DET,1610612765,t,W,12,11,0.522,240,40,88,0.455,8,21,0.381,14,21,1,9,35,44,24,10,5,9,23,102,1610612741,2016,Regular Season,2016-17,23,33,75,0.44,2,15,0.133,23,32,1,9,36,45,15,6,7,14,20,91,21,5.25
21600542,2017-01-05,LAL @ POR,1610612757,t,W,16,22,0.421,240,43,81,0.531,12,33,0.364,20,30,1,8,39,47,29,6,5,13,21,118,1610612747,2016,Regular Season,2016-17,38,36,86,0.419,10,31,0.323,27,33,1,10,30,40,15,7,3,11,25,109,39,6.75
